,id,mac,type,rssi,rssiOrigin,deviceId,gatewayId,gatewayLogId,raw,createdAt,updatedAt
3341,7154963,dd3c23d9f3fa,0,55,201,12826,3,131252,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:16,2020-04-07 12:40:16
3342,7154517,dd3c23d9f3fa,0,66,190,12826,3,131258,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:17,2020-04-07 12:40:18
3343,7155037,dd3c23d9f3fa,0,66,190,12826,3,131258,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:17,2020-04-07 12:40:17
3344,7155501,dd3c23d9f3fa,0,55,201,12826,3,131264,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:18,2020-04-07 12:40:18
3345,7154643,dd3c23d9f3fa,0,55,201,12826,3,131264,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:18,2020-04-07 12:40:18
3346,7155373,dd3c23d9f3fa,0,89,167,12826,4,131263,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:18,2020-04-07 12:40:18
3347,7156886,dd3c23d9f3fa,0,72,184,12826,3,131279,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:21,2020-04-07 12:40:21
3348,7156454,dd3c23d9f3fa,0,72,184,12826,3,131279,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:21,2020-04-07 12:40:23
3349,7156492,dd3c23d9f3fa,0,55,201,12826,3,131284,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:22,2020-04-07 12:40:24
3350,7157746,dd3c23d9f3fa,0,55,201,12826,3,131284,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:22,2020-04-07 12:40:22
3351,7158672,dd3c23d9f3fa,0,70,186,12826,3,131293,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:24,2020-04-07 12:40:24
3352,7157965,dd3c23d9f3fa,0,70,186,12826,3,131293,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:24,2020-04-07 12:40:28
3353,7160199,dd3c23d9f3fa,0,59,197,12826,3,131304,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:27,2020-04-07 12:40:27
3354,7159737,dd3c23d9f3fa,0,59,197,12826,3,131304,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:27,2020-04-07 12:40:32
3355,7159311,dd3c23d9f3fa,0,67,189,12826,3,131309,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:28,2020-04-07 12:40:31
3356,7160631,dd3c23d9f3fa,0,67,189,12826,3,131309,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:28,2020-04-07 12:40:28
3357,7158846,dd3c23d9f3fa,0,56,200,12826,3,131314,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:29,2020-04-07 12:40:30
3358,7160907,dd3c23d9f3fa,0,58,198,12826,3,131314,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:29,2020-04-07 12:40:35
3359,7161034,dd3c23d9f3fa,0,56,200,12826,3,131314,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:29,2020-04-07 12:40:29
3360,7161064,dd3c23d9f3fa,0,58,198,12826,3,131314,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:29,2020-04-07 12:40:29
3361,7160466,dd3c23d9f3fa,0,70,186,12826,3,131320,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:30,2020-04-07 12:40:34
3362,7161562,dd3c23d9f3fa,0,70,186,12826,3,131320,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:30,2020-04-07 12:40:30
3363,7160014,dd3c23d9f3fa,0,87,169,12826,4,131328,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:31,2020-04-07 12:40:31
3364,7162386,dd3c23d9f3fa,0,56,200,12826,3,131343,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:34,2020-04-07 12:40:40
3365,7163017,dd3c23d9f3fa,0,56,200,12826,3,131343,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:34,2020-04-07 12:40:34
3366,7163140,dd3c23d9f3fa,0,58,198,12826,3,131347,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:35,2020-04-07 12:40:35
3367,7161669,dd3c23d9f3fa,0,58,198,12826,3,131347,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:35,2020-04-07 12:40:38
3368,7161408,dd3c23d9f3fa,0,69,187,12826,3,131352,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:36,2020-04-07 12:40:37
3369,7163027,dd3c23d9f3fa,0,69,187,12826,3,131352,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:40:36,2020-04-07 12:40:36
