id,mac,type,rssi,rssiOrigin,deviceId,gatewayId,gatewayLogId,raw,createdAt,updatedAt
53105376,dd3c23d9f3fa,0,62,194,113414,3,1793668,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53107572,dd3c23d9f3fa,0,71,185,113414,3,1793767,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:48
53108353,dd3c23d9f3fa,0,61,195,113414,3,1793587,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53109651,dd3c23d9f3fa,0,62,194,113414,3,1793681,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53119867,dd3c23d9f3fa,0,62,194,113414,3,1793664,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53121899,dd3c23d9f3fa,0,93,163,113414,2,1793650,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53123890,dd3c23d9f3fa,0,61,195,113414,3,1793747,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53127469,dd3c23d9f3fa,0,57,199,113414,3,1793644,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53128048,dd3c23d9f3fa,0,63,193,113414,3,1793652,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53129811,dd3c23d9f3fa,0,61,195,113414,3,1793596,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53131919,dd3c23d9f3fa,0,94,162,113414,2,1793666,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53134374,dd3c23d9f3fa,0,93,163,113414,2,1793658,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53134564,dd3c23d9f3fa,0,84,172,113414,4,1793581,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53137139,dd3c23d9f3fa,0,63,193,113414,3,1793687,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53140871,dd3c23d9f3fa,0,61,195,113414,3,1793690,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53143127,dd3c23d9f3fa,0,85,171,113414,4,1793714,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53146902,dd3c23d9f3fa,0,62,194,113414,3,1793648,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53146933,dd3c23d9f3fa,0,62,194,113414,3,1793648,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53149110,dd3c23d9f3fa,0,73,183,113414,3,1793743,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53149133,dd3c23d9f3fa,0,62,194,113414,3,1793743,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53150751,dd3c23d9f3fa,0,63,193,113414,3,1793567,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53151267,dd3c23d9f3fa,0,83,173,113414,4,1793766,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53151370,dd3c23d9f3fa,0,91,165,113414,2,1793575,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53151984,dd3c23d9f3fa,0,83,173,113414,4,1793774,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53152146,dd3c23d9f3fa,0,61,195,113414,3,1793735,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53153105,dd3c23d9f3fa,0,63,193,113414,3,1793636,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53156412,dd3c23d9f3fa,0,62,194,113414,3,1793675,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53166577,dd3c23d9f3fa,0,84,172,113414,4,1793786,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53168581,dd3c23d9f3fa,0,83,173,113414,4,1793619,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53168887,dd3c23d9f3fa,0,63,193,113414,3,1793660,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53170209,dd3c23d9f3fa,0,83,173,113414,4,1793750,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53170478,dd3c23d9f3fa,0,84,172,113414,4,1793603,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53170519,dd3c23d9f3fa,0,84,172,113414,4,1793603,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53172654,dd3c23d9f3fa,0,84,172,113414,4,1793778,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53177384,dd3c23d9f3fa,0,56,200,113414,3,1793791,0201060303aafe1116aafe20000d081800003a3b9f0199c493,2020/3/28 16:06,2020/3/28 16:06
53192475,dd3c23d9f3fa,0,85,171,113414,4,1793734,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53192508,dd3c23d9f3fa,0,84,172,113414,4,1793734,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53196301,dd3c23d9f3fa,0,89,167,113414,2,1793622,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53199820,dd3c23d9f3fa,0,83,173,113414,4,1793595,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53220780,dd3c23d9f3fa,0,63,193,113414,3,1793695,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53220971,dd3c23d9f3fa,0,71,185,113414,3,1793624,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53225016,dd3c23d9f3fa,0,86,170,113414,4,1793623,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53231654,dd3c23d9f3fa,0,85,171,113414,4,1793691,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53234589,dd3c23d9f3fa,0,84,172,113414,4,1793611,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53236311,dd3c23d9f3fa,0,85,171,113414,4,1793631,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53249505,dd3c23d9f3fa,0,85,171,113414,3,1793699,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53258504,dd3c23d9f3fa,0,83,173,113414,4,1793659,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53272387,dd3c23d9f3fa,0,83,173,113414,4,1793782,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53476242,dd3c23d9f3fa,0,71,185,113414,3,1793779,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53476284,dd3c23d9f3fa,0,61,195,113414,3,1793779,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53527032,dd3c23d9f3fa,0,85,171,113414,4,1793694,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:06,2020/3/28 16:06
53038410,dd3c23d9f3fa,0,55,201,113414,3,1793987,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53063690,dd3c23d9f3fa,0,88,168,113414,4,1793962,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53069129,dd3c23d9f3fa,0,57,199,113414,3,1793963,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53072549,dd3c23d9f3fa,0,82,174,113414,4,1793902,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53073666,dd3c23d9f3fa,0,87,169,113414,2,1793965,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53074340,dd3c23d9f3fa,0,62,194,113414,3,1793819,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53080664,dd3c23d9f3fa,0,92,164,113414,1,1793992,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:45
53081106,dd3c23d9f3fa,0,81,175,113414,4,1794001,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:45
53082158,dd3c23d9f3fa,0,89,167,113414,4,1793854,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53091294,dd3c23d9f3fa,0,88,168,113414,2,1793990,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53092755,dd3c23d9f3fa,0,85,171,113414,4,1793890,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53099416,dd3c23d9f3fa,0,87,169,113414,2,1793981,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53105968,dd3c23d9f3fa,0,90,166,113414,1,1793904,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53107628,dd3c23d9f3fa,0,86,170,113414,4,1794005,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53110366,dd3c23d9f3fa,0,91,165,113414,1,1794004,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53111064,dd3c23d9f3fa,0,56,200,113414,3,1794014,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53111334,dd3c23d9f3fa,0,83,173,113414,4,1793974,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53114391,dd3c23d9f3fa,0,57,199,113414,3,1793975,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53115668,dd3c23d9f3fa,0,92,164,113414,1,1793992,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53123867,dd3c23d9f3fa,0,55,201,113414,3,1794027,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:50
53126153,dd3c23d9f3fa,0,87,169,113414,4,1793938,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53129112,dd3c23d9f3fa,0,62,194,113414,3,1793815,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53135734,dd3c23d9f3fa,0,64,192,113414,3,1793867,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53135760,dd3c23d9f3fa,0,56,200,113414,3,1793867,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53137836,dd3c23d9f3fa,0,87,169,113414,1,1793928,0201060303aafe1116aafe20000d0e1780003a3bd10199c5f4,2020/3/28 16:07,2020/3/28 16:07
53138394,dd3c23d9f3fa,0,90,166,113414,1,1793936,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
53140770,dd3c23d9f3fa,0,56,200,113414,3,1793967,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020/3/28 16:07,2020/3/28 16:07
